codice_scuola|anno_corso|scuola|regione|nazionale
"AGTD014018"|4|25.4|34.6|33.8
"AGTD01601X"|1|7.4|28.5|29.7
"AGTD01601X"|2|5.9|32.1|31.8
"AGTD01601X"|3|9.2|34|33.7
"AGTD01601X"|4|10.5|34.6|33.8
"AGTD02000E"|1|25.4|28.5|29.7
"AGTD02000E"|2|32.1|32.1|31.8
"AGTD02000E"|3|29.6|34|33.7
"AGTD02000E"|4|40.7|34.6|33.8
"AGTD030005"|1|28.6|28.5|29.7
"AGTD030005"|2|36|32.1|31.8
"AGTD030005"|3|24.2|34|33.7
"AGTD030005"|4|47.1|34.6|33.8
"AGTD09000R"|1|27.8|28.5|29.7
"AGTD09000R"|2|33.5|32.1|31.8
"AGTD09000R"|3|38.9|34|33.7
"AGTD09000R"|4|33.6|34.6|33.8
"AGTD09001T"|1|18.6|28.5|29.7
"AGTD09001T"|2|20|32.1|31.8
"AGTD09001T"|3|38.2|34|33.7
"AGTD09001T"|4|25.6|34.6|33.8
"AGTL011017"|1|21.4|28.5|29.7
"AGTL011017"|2|35.7|32.1|31.8
"AGTL011017"|3|26.2|34|33.7
"AGTL011017"|4|29.4|34.6|33.8
"AGTL01401P"|1|23.8|28.5|29.7
"AGTL01401P"|2|27.9|32.1|31.8
"AGTL01401P"|3|26.9|34|33.7
"AGTL01401P"|4|36.6|34.6|33.8
"ALPC00901C"|1|18.4|23.4|23.8
"ALPC00901C"|2|24.8|24.2|24.4
"ALPC00901C"|3|21.1|22.9|24.2
"ALPC00901C"|4|15.6|20.9|21.4
"ALPC01601G"|1|16.1|23.4|23.8
"ALPC01601G"|2|22.9|24.2|24.4
"ALPC01601G"|3|25|22.9|24.2
"ALPC01601G"|4|11.3|20.9|21.4
"ALPM01601Q"|1|31.9|23.4|23.8
"ALPM01601Q"|2|40.1|24.2|24.4
"ALPM01601Q"|3|38.2|22.9|24.2
"ALPM01601Q"|4|35.3|20.9|21.4
"ALPS001011"|1|20.6|23.4|23.8
"ALPS001011"|2|24.4|24.2|24.4
"ALPS001011"|3|22.9|22.9|24.2
"ALPS001011"|4|23.6|20.9|21.4
"ALPS00401C"|1|20|23.4|23.8
"ALPS00401C"|2|8.8|24.2|24.4
"ALPS00401C"|3|31.1|22.9|24.2
"ALPS00401C"|4|23|20.9|21.4
"ALPS00701X"|1|17.2|23.4|23.8
"ALPS00701X"|2|8.2|24.2|24.4
"ALPS00701X"|3|14.9|22.9|24.2
"ALPS00701X"|4|10.8|20.9|21.4
"ALPS00901G"|1|11.8|23.4|23.8
"ALPS00901G"|2|10.4|24.2|24.4
"ALPS00901G"|3|28.2|22.9|24.2
"ALPS00901G"|4|18.2|20.9|21.4
"ALPS01000P"|1|31.1|23.4|23.8
"ALPS01000P"|2|23.4|24.2|24.4
"ALPS01000P"|3|36.6|22.9|24.2
"ALPS01000P"|4|19|20.9|21.4
"ALPS020009"|1|17.2|23.4|23.8
"ALPS020009"|2|13.9|24.2|24.4
"ALPS020009"|3|14.4|22.9|24.2
"ALPS020009"|4|10.6|20.9|21.4
"ALPS050005"|1|20.2|23.4|23.8
"ALPS050005"|2|18.3|24.2|24.4
"ALPS050005"|3|23.5|22.9|24.2
"ALPS050005"|4|18.1|20.9|21.4
"ALRC003015"|1|||
"ALRC003015"|2|||
"ALRC003015"|3|||
"ALRC003015"|4|18.6|30.4|30.7
"ALRC00601L"|1|30.4|31|28.8
"ALRC00601L"|2|20.7|32|33
"ALRC00601L"|3|||
"ALRC00601L"|4|35.6|30.4|30.7
"ALRC008018"|1|27.3|31|28.8
"ALRC008018"|2|34.7|32|33
"ALRC008018"|3|||
"ALRC008018"|4|29.2|30.4|30.7
"ALRC01301Q"|1|||
"ALRC01301Q"|2|20.3|32|33
"ALRC01301Q"|3|||
"ALRC01301Q"|4|18.2|30.4|30.7
"ALRC017013"|1|40.9|31|28.8
"ALRC017013"|2|33.9|32|33
"ALRC017013"|3|||
"ALRC017013"|4|26.2|30.4|30.7
"ALRI00301T"|1|45.7|31|28.8
"ALRI00301T"|2|47.4|32|33
"ALRI00301T"|3|||
"ALRI00301T"|4|47.4|30.4|30.7
"ALRI01000X"|1|38.3|31|28.8
"ALRI01000X"|2|47.5|32|33
"ALRI01000X"|3|||
"ALRI01000X"|4|43.8|30.4|30.7
"ALSD00101B"|1|14|29.6|30.6
"ALSD00101B"|2|25.6|27.6|30.9
"ALSD00101B"|3|0|27.9|29.5
"ALSD00101B"|4|35.5|22.3|27.2
"ALSD00401V"|1|||
"ALSD00401V"|2|25|27.6|30.9
"ALSD00401V"|3|||
"ALSD00401V"|4|41.7|22.3|27.2
"ALSL004019"|1|31.6|29.6|30.6
"ALSL004019"|2|4.5|27.6|30.9
"ALSL004019"|3|18.6|27.9|29.5
"ALSL004019"|4|0|22.3|27.2
"ALTA01401C"|1|40|28.1|29.7
"ALTA01401C"|2|23.9|29.6|31.8
"ALTA01401C"|3|22.9|30.1|33.7
"ALTA01401C"|4|29.7|31.4|33.8
"ALTD00301C"|1|22.4|28.1|29.7
"ALTD00301C"|2|31|29.6|31.8
"ALTD00301C"|3|13.5|30.1|33.7
"ALTD00301C"|4|17.1|31.4|33.8
"ALTD004018"|1|20.8|28.1|29.7
"ALTD004018"|2|25|29.6|31.8
"ALTD004018"|3|10.8|30.1|33.7
"ALTD004018"|4|42.9|31.4|33.8
"ALTD00601X"|1|23|28.1|29.7
"ALTD00601X"|2|27.8|29.6|31.8
"ALTD00601X"|3|34.2|30.1|33.7
"ALTD00601X"|4|35.5|31.4|33.8
"ALTD00701Q"|1|1.5|28.1|29.7
"ALTD00701Q"|2|0|29.6|31.8
"ALTD00701Q"|3|0|30.1|33.7
"ALTD00701Q"|4|0|31.4|33.8
"ALTD00801G"|1|38.7|28.1|29.7
"ALTD00801G"|2|26.9|29.6|31.8
"ALTD00801G"|3|20|30.1|33.7
"ALTD00801G"|4|50|31.4|33.8
"ALTD013013"|1|18.9|28.1|29.7
"ALTD013013"|2|12.4|29.6|31.8
"ALTD013013"|3|17.2|30.1|33.7
"ALTD013013"|4|23.1|31.4|33.8
"ALTD01701A"|1|32|28.1|29.7
"ALTD01701A"|2|26.2|29.6|31.8
"ALTD01701A"|3|21.7|30.1|33.7
"ALTD01701A"|4|21.1|31.4|33.8
"ALTF00301P"|1|26.7|28.1|29.7
"ALTF00301P"|2|16|29.6|31.8
"ALTF00301P"|3|46.6|30.1|33.7
"ALTF00301P"|4|41.4|31.4|33.8
"ALTF007012"|1|40.7|28.1|29.7
"ALTF007012"|2|28.6|29.6|31.8
"ALTF007012"|3|37.5|30.1|33.7
"ALTF007012"|4|39|31.4|33.8
"ALTF00801T"|1|33.3|28.1|29.7
"ALTF00801T"|2|40|29.6|31.8
"ALTF00801T"|3|33|30.1|33.7
"ALTF00801T"|4|43.2|31.4|33.8
"ALTF01000R"|1|32.8|28.1|29.7
"ALTF01000R"|2|36.5|29.6|31.8
"ALTF01000R"|3|36.8|30.1|33.7
"ALTF01000R"|4|32|31.4|33.8
"ALTF014015"|1|22.1|28.1|29.7
"ALTF014015"|2|25.5|29.6|31.8
"ALTF014015"|3|26.1|30.1|33.7
"ALTF014015"|4|37.9|31.4|33.8
"ALTF01701L"|1|28|28.1|29.7
"ALTF01701L"|2|33.6|29.6|31.8
"ALTF01701L"|3|31.4|30.1|33.7
"ALTF01701L"|4|33.3|31.4|33.8
"ALTL010001"|1|35.2|28.1|29.7
"ALTL010001"|2|33.3|29.6|31.8
"ALTL010001"|3|34|30.1|33.7
"ALTL010001"|4|30.2|31.4|33.8
"ALTN00301A"|1|25.5|28.1|29.7
"ALTN00301A"|2|33.3|29.6|31.8
"ALTN00301A"|3|24.5|30.1|33.7
"ALTN00301A"|4|27.3|31.4|33.8
"ALTN013011"|1|||
"ALTN013011"|2|||
"ALTN013011"|3|0|30.1|33.7
"ALTN013011"|4|17.6|31.4|33.8
"ANPC010006"|1|27.6|22.6|23.8
"ANPC010006"|2|21.8|22.4|24.4
"ANPC010006"|3|18.2|21.3|24.2
"ANPC010006"|4|11.2|17.6|21.4
"ANPC03000B"|1|25|22.6|23.8
"ANPC03000B"|2|25.4|22.4|24.4
"ANPC03000B"|3|16.8|21.3|24.2
"ANPC03000B"|4|20.6|17.6|21.4
"ANPC040002"|1|20.6|22.6|23.8
"ANPC040002"|2|19.6|22.4|24.4
"ANPC040002"|3|18.7|21.3|24.2
"ANPC040002"|4|20.4|17.6|21.4
"ANPC060007"|1|19.6|22.6|23.8
"ANPC060007"|2|27.1|22.4|24.4
"ANPC060007"|3|20.4|21.3|24.2
"ANPC060007"|4|21.6|17.6|21.4
"ANPS00201B"|1|21.2|22.6|23.8
"ANPS00201B"|2|20.3|22.4|24.4
"ANPS00201B"|3|12.1|21.3|24.2
"ANPS00201B"|4|15.6|17.6|21.4
"ANPS009016"|1|23.5|22.6|23.8
"ANPS009016"|2|23.5|22.4|24.4
"ANPS009016"|3|33.9|21.3|24.2
"ANPS009016"|4|23.6|17.6|21.4
"ANPS010009"|1|19.7|22.6|23.8
"ANPS010009"|2|20.4|22.4|24.4
"ANPS010009"|3|15.5|21.3|24.2
"ANPS010009"|4|21.8|17.6|21.4
"ANPS012012"|1|17.3|22.6|23.8
"ANPS012012"|2|15.2|22.4|24.4
"ANPS012012"|3|26.2|21.3|24.2
"ANPS012012"|4|18.4|17.6|21.4
"ANPS03000E"|1|18.2|22.6|23.8
"ANPS03000E"|2|19.9|22.4|24.4
"ANPS03000E"|3|12.4|21.3|24.2
"ANPS03000E"|4|8.3|17.6|21.4
"ANPS040005"|1|24.2|22.6|23.8
"ANPS040005"|2|27|22.4|24.4
"ANPS040005"|3|14.7|21.3|24.2
"ANPS040005"|4|11.2|17.6|21.4
"ANPS05000Q"|1|25|22.6|23.8
"ANPS05000Q"|2|15.2|22.4|24.4
"ANPS05000Q"|3|15.8|21.3|24.2
"ANPS05000Q"|4|21.3|17.6|21.4
"ANPS05001R"|1|25|22.6|23.8
"ANPS05001R"|2|35.3|22.4|24.4
"ANPS05001R"|3|26.3|21.3|24.2
"ANPS05001R"|4|21.7|17.6|21.4
"ANRA001026"|1|17.2|33.3|28.8
"ANRA001026"|2|17.1|32.6|33
"ANRA001026"|3|||
"ANRA001026"|4|8.7|33.7|30.7
"ANRC01301A"|1|35.1|33.3|28.8
"ANRC01301A"|2|35.3|32.6|33
"ANRC01301A"|3|||
"ANRC01301A"|4|42.2|33.7|30.7
"ANRC01302B"|1|41.5|33.3|28.8
"ANRC01302B"|2|27.3|32.6|33
"ANRC01302B"|3|||
"ANRC01302B"|4|43.6|33.7|30.7
"ANRH008014"|1|37.6|33.3|28.8
"ANRH008014"|2|32.1|32.6|33
"ANRH008014"|3|||
"ANRH008014"|4|32.2|33.7|30.7
"ANRH01901E"|1|36.5|33.3|28.8
"ANRH01901E"|2|31.9|32.6|33
"ANRH01901E"|3|||
"ANRH01901E"|4|29.6|33.7|30.7
"ANRI00101R"|1|16.7|33.3|28.8
"ANRI00101R"|2|16.4|32.6|33
"ANRI00101R"|3|||
"ANRI00101R"|4|38.5|33.7|30.7
"ANRI01101B"|1|42.9|33.3|28.8
"ANRI01101B"|2|40.8|32.6|33
"ANRI01101B"|3|||
"ANRI01101B"|4|48.6|33.7|30.7
"ANRI013013"|1|9.7|33.3|28.8
"ANRI013013"|2|11.8|32.6|33
"ANRI013013"|3|||
"ANRI013013"|4|35.3|33.7|30.7
"ANRI01601E"|1|12.5|33.3|28.8
"ANRI01601E"|2|13.6|32.6|33
"ANRI01601E"|3|||
"ANRI01601E"|4|26.7|33.7|30.7
"ANRI01602G"|1|30.3|33.3|28.8
"ANRI01602G"|2|36.2|32.6|33
"ANRI01602G"|3|||
"ANRI01602G"|4|30.1|33.7|30.7
"ANRI018016"|1|30|33.3|28.8
"ANRI018016"|2|21.4|32.6|33
"ANRI018016"|3|||
"ANRI018016"|4|25|33.7|30.7
"ANSD01000Q"|1|26.7|32.8|30.6
"ANSD01000Q"|2|26.7|31.9|30.9
"ANSD01000Q"|3|23.1|27.8|29.5
"ANSD01000Q"|4|31.3|29|27.2
"ANSD01001R"|1|25.9|32.8|30.6
"ANSD01001R"|2|26.9|31.9|30.9
"ANSD01001R"|3|||
"ANSD01001R"|4|39.3|29|27.2
"ANSD01002T"|1|40|32.8|30.6
"ANSD01002T"|2|41|31.9|30.9
"ANSD01002T"|3|||
"ANSD01002T"|4|26.1|29|27.2
"ANTA01701E"|1|26.3|29|29.7
"ANTA01701E"|2|18.2|28|31.8
"ANTA01701E"|3|34.4|30.6|33.7
"ANTA01701E"|4|12.5|30|33.8
"ANTD002017"|1|34.4|29|29.7
"ANTD002017"|2|27.8|28|31.8
"ANTD002017"|3|34.3|30.6|33.7
"ANTD002017"|4|24.1|30|33.8
"ANTD00401V"|1|19.2|29|29.7
"ANTD00401V"|2|15.1|28|31.8
"ANTD00401V"|3|40|30.6|33.7
"ANTD00401V"|4|61.1|30|33.8
"ANTD008016"|1|38.2|29|29.7
"ANTD008016"|2|33.3|28|31.8
"ANTD008016"|3|41.7|30.6|33.7
"ANTD008016"|4|26.3|30|33.8
"ANTD009012"|1|25.8|29|29.7
"ANTD009012"|2|17.8|28|31.8
"ANTD009012"|3|26.3|30.6|33.7
"ANTD009012"|4|28|30|33.8
"ANTD01201T"|1|14.3|29|29.7
"ANTD01201T"|2|11.4|28|31.8
"ANTD01201T"|3|1.3|30.6|33.7
"ANTD01201T"|4|15.5|30|33.8
"ANTD017011"|1|40.7|29|29.7
"ANTD017011"|2|28.7|28|31.8
"ANTD017011"|3|23.1|30.6|33.7
"ANTD017011"|4|34|30|33.8
"ANTD02000Q"|1|34.3|29|29.7
"ANTD02000Q"|2|27|28|31.8
"ANTD02000Q"|3|24.6|30.6|33.7
"ANTD02000Q"|4|26.1|30|33.8
"ANTD05000G"|1|35|29|29.7
"ANTD05000G"|2|26.9|28|31.8
"ANTD05000G"|3|35.8|30.6|33.7
"ANTD05000G"|4|23.4|30|33.8
"ANTE00401A"|1|29.6|29|29.7
"ANTE00401A"|2|21.3|28|31.8
"ANTE00401A"|3|16.4|30.6|33.7
"ANTE00401A"|4|28.6|30|33.8
"ANTE01000L"|1|27.6|29|29.7
"ANTE01000L"|2|32.1|28|31.8
"ANTE01000L"|3|31.9|30.6|33.7
"ANTE01000L"|4|19.4|30|33.8
"ANTF011018"|1|19.7|29|29.7
"ANTF011018"|2|32.4|28|31.8
"ANTF011018"|3|44.3|30.6|33.7
"ANTF011018"|4|36.5|30|33.8
"ANTF01401Q"|1|24.8|29|29.7
"ANTF01401Q"|2|23.9|28|31.8
"ANTF01401Q"|3|35|30.6|33.7
"ANTF01401Q"|4|32|30|33.8
"ANTF018013"|1|23.1|29|29.7
"ANTF018013"|2|22.6|28|31.8
"ANTF018013"|3|26|30.6|33.7
"ANTF018013"|4|40.2|30|33.8
"ANTF03000L"|1|20.7|29|29.7
"ANTF03000L"|2|27.8|28|31.8
"ANTF03000L"|3|29|30.6|33.7
"ANTF03000L"|4|33.7|30|33.8
"ANTH014017"|1|38.6|29|29.7
"ANTH014017"|2|28|28|31.8
"ANTH014017"|3|28|30.6|33.7
"ANTH014017"|4|36|30|33.8
"APPC00302Q"|1|24.8|22.6|23.8
"APPC00302Q"|2|32.6|22.4|24.4
"APPC00302Q"|3|30.1|21.3|24.2
"APPC00302Q"|4|24.3|17.6|21.4
"APPC00401E"|1|33.3|22.6|23.8
"APPC00401E"|2|17.6|22.4|24.4
"APPC00401E"|3|10.5|21.3|24.2
"APPC00401E"|4|11.8|17.6|21.4
"APPC01000R"|1|24.1|22.6|23.8
"APPC01000R"|2|18.5|22.4|24.4
"APPC01000R"|3|15.5|21.3|24.2
"APPC01000R"|4|14.4|17.6|21.4
"APPC02000B"|1|18.8|22.6|23.8
"APPC02000B"|2|25.1|22.4|24.4
"APPC02000B"|3|14.6|21.3|24.2
"APPC02000B"|4|17.1|17.6|21.4
"APPM007016"|1|39.3|22.6|23.8
"APPM007016"|2|32.7|22.4|24.4
"APPM007016"|3|21.8|21.3|24.2
"APPM007016"|4|26.9|17.6|21.4
"APPS002012"|1|32.5|22.6|23.8
"APPS002012"|2|14.1|22.4|24.4
"APPS002012"|3|21.4|21.3|24.2
"APPS002012"|4|46.4|17.6|21.4
"APPS002023"|1|20.3|22.6|23.8
"APPS002023"|2|30.6|22.4|24.4
"APPS002023"|3|23.5|21.3|24.2
"APPS002023"|4|8.9|17.6|21.4
"APPS01000X"|1|19.1|22.6|23.8
"APPS01000X"|2|30.5|22.4|24.4
"APPS01000X"|3|29.7|21.3|24.2
"APPS01000X"|4|19|17.6|21.4
"APPS02000E"|1|26.8|22.6|23.8
"APPS02000E"|2|30.6|22.4|24.4
"APPS02000E"|3|24.1|21.3|24.2
"APPS02000E"|4|16.3|17.6|21.4
"APPS030005"|1|24|22.6|23.8
"APPS030005"|2|28.1|22.4|24.4
"APPS030005"|3|35.4|21.3|24.2
"APPS030005"|4|20.8|17.6|21.4
"APRC00201E"|1|37|33.3|28.8
"APRC00201E"|2|39.3|32.6|33
"APRC00201E"|3|||
"APRC00201E"|4|40|33.7|30.7
"APRC00301A"|1|42.9|33.3|28.8
"APRC00301A"|2|45.8|32.6|33
"APRC00301A"|3|||
"APRC00301A"|4|44.4|33.7|30.7
"APRC004016"|1|20|33.3|28.8
"APRC004016"|2|7.1|32.6|33
"APRC004016"|3|||
"APRC004016"|4|||
"APRC00601T"|1|41.4|33.3|28.8
"APRC00601T"|2|39.5|32.6|33
"APRC00601T"|3|||
"APRC00601T"|4|42.3|33.7|30.7
"APRH00201Q"|1|33.7|33.3|28.8
"APRH00201Q"|2|33.8|32.6|33
"APRH00201Q"|3|||
"APRH00201Q"|4|44.2|33.7|30.7
"APRH01000N"|1|39.5|33.3|28.8
"APRH01000N"|2|42.6|32.6|33
"APRH01000N"|3|||
"APRH01000N"|4|33.6|33.7|30.7
"APRH01001P"|1|25.5|33.3|28.8
"APRH01001P"|2|24.4|32.6|33
"APRH01001P"|3|||
"APRH01001P"|4|||
"APRI00401V"|1|56.3|33.3|28.8
"APRI00401V"|2|||
"APRI00401V"|3|||
"APRI00401V"|4|50|33.7|30.7
"APRI00601E"|1|48.5|33.3|28.8
"APRI00601E"|2|54.4|32.6|33
"APRI00601E"|3|||
"APRI00601E"|4|42.2|33.7|30.7
"APRI02000Q"|1|30.8|33.3|28.8
"APRI02000Q"|2|31.1|32.6|33
"APRI02000Q"|3|||
"APRI02000Q"|4|38.7|33.7|30.7
"APRI03000A"|1|34.6|33.3|28.8
"APRI03000A"|2|31.2|32.6|33
"APRI03000A"|3|||
"APRI03000A"|4|36.3|33.7|30.7
"APSD00101L"|1|34.6|32.8|30.6
"APSD00101L"|2|32.9|31.9|30.9
"APSD00101L"|3|24.4|27.8|29.5
"APSD00101L"|4|45.1|29|27.2
"APSD01000A"|1|36.1|32.8|30.6
"APSD01000A"|2|33.3|31.9|30.9
"APSD01000A"|3|27.5|27.8|29.5
"APSD01000A"|4|31.9|29|27.2
"APSL001013"|1|34.1|32.8|30.6
"APSL001013"|2|37.5|31.9|30.9
"APSL001013"|3|30.6|27.8|29.5
"APSL001013"|4|0|29|27.2
"APTA00801A"|1|30.6|29|29.7
"APTA00801A"|2|43.8|28|31.8
"APTA00801A"|3|28.1|30.6|33.7
"APTA00801A"|4|39.4|30|33.8
"APTD00201T"|1|29.7|29|29.7
"APTD00201T"|2|28|28|31.8
"APTD00201T"|3|37.5|30.6|33.7
"APTD00201T"|4|50|30|33.8
"APTD00202V"|1|||
"APTD00202V"|2|||
"APTD00202V"|3|||
"APTD00202V"|4|78.6|30|33.8
"APTD00203X"|1|4.5|29|29.7
"APTD00203X"|2|4.8|28|31.8
"APTD00203X"|3|36.4|30.6|33.7
"APTD00203X"|4|27.8|30|33.8
"APTD00401D"|1|30|29|29.7
"APTD00401D"|2|25.9|28|31.8
"APTD00401D"|3|23.5|30.6|33.7
"APTD00401D"|4|51.4|30|33.8
"APTD030001"|1|31|29|29.7
